id,created_utc,body
ghu9qut,2021-01-02 16:59:17,All these guys saying if you made money this year you’re not a real investor... how do they know i didn’t wait for the dip? Just picked a better year than they did
ghu9qu7,2021-01-02 16:59:17,I sold at 14k to yeet it into options. Did not go as planned
ghu9qdd,2021-01-02 16:59:10,Fuck yeah! You definitely won't regret this. 30 years from now when your grandchildren are playing in the fields of your estate you'll tell them how the gods of WSB blessed you and guided your portfolio of GME $35 calls into fucking Mars.
ghu9qc9,2021-01-02 16:59:10,Shitcoins are absolute madness right now. 😂
ghu9pui,2021-01-02 16:59:03,Buy high baby
ghu9pry,2021-01-02 16:59:02,Lemurs are fucking freaky animals.
ghu9rbb,2021-01-02 16:59:23,Game Stop to the Game Top
ghu9s2k,2021-01-02 16:59:34,"So tell me what call I should ""*not financial advice*"" buy"
ghu9sjr,2021-01-02 16:59:41,The ‘A’ in GAME should have burnt out as well so people will only see GME.
ghu9sh6,2021-01-02 16:59:40,Stonks only go up
ghu9tpu,2021-01-02 16:59:58,TD Ameritrade Trader TV. They even cover specific options plays.
ghu9pui,2021-01-02 16:59:03,Buy high baby
ghu9pry,2021-01-02 16:59:02,Lemurs are fucking freaky animals.
ghu9qdd,2021-01-02 16:59:10,Fuck yeah! You definitely won't regret this. 30 years from now when your grandchildren are playing in the fields of your estate you'll tell them how the gods of WSB blessed you and guided your portfolio of GME $35 calls into fucking Mars.
ghu9qc9,2021-01-02 16:59:10,Shitcoins are absolute madness right now. 😂
